IMBD title ID;Original title;Release year;YEAR;Genre;Duration;Country;Content Rating;Director;Income; Votes ;Score;
tt0209144;Memento;19/01/2001;2001;Mystery, Thriller;113;USA;R;Christopher Nolan;$39,970,386;1098879;8.2;
tt0910970;WALL·E;17/10/2008;2008;Animation, Adventure, Family;98;USA;G;Andrew Stanton;$521,311,860;974734;8.2;
tt0081505;The Shining;22/12/1980;1980;Drama, Horror;146;UK;R;Stanley Kubrick;$46,520,613;86948;8.2;
tt0082971;Raiders of the Lost Ark;12/06/1981;1981;Action, Adventure;115;USA;PG;Steven Spielberg;$390,133,212;86551;8.2;
tt4154756;Avengers: Infinity War;25/04/2018;2018;Action, Adventure, Sci/Fi;149;USA;G;Anthony Russo, Joe Russo;$2,048,359,754;796486;8.2;
tt0078748;Alien;25/10/1979;1979;Horror, Sci/Fi;117;UK;R;Ridley Scott;$108,110,316;768874;8.2;
tt4154796;Avengers: Endgame;24/04/2019;2019;Action, Adventure, Drama;181;USA;G;Anthony Russo, Joe Russo;$2,797,800,564;754786;8.2;
tt0078788;Apocalypse Now;18/12/1979;1979;Drama, Mystery, War;147;USA;R;Francis Ford Coppola;$91,968,688;591251;8.2;
tt0364569;Oldeuboi;06/05/2005;2005;Action, Drama, Mystery;120;SOUTH KOREA;R;Chan/wook Park;$15,002,116;501082;8.1;
tt0057012;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;03/04/1964;1964;Comedy;95;UK;PG;Stanley Kubrick;$9,443,876;441115;8.1;
tt0047396;Rear Window;14/04/1955;1955;Mystery, Thriller;112;USA;G;Alfred Hitchcock;$37,032,034;43239;8.1;
tt2380307;Coco;28/12/2017;2017;Animation, Adventure, Family;105;USA;G;Lee Unkrich, Adrian Molina;$807,083,670;352455;8.1;
tt0405094;Das Leben der Anderen;06/04/2007;2007;Drama, Mystery, Thriller;137;GERMANY;R;Florian Henckel von Donnersmarck;$77,356,942;349642;8.1;
tt4633694;Spider/Man: Into the Spider/Verse;25/12/2018;2018;Animation, Action, Adventure;117;USA;G;Bob Persichetti, Peter Ramsey;$375,540,831;335892;8.1;
tt1187043;3 Idiots;25/12/2009;2009;Comedy, Drama;170;INDIA;G;Rajkumar Hirani;$60,262,836;332217;8.1;
tt0119698;Mononoke/hime;19/05/2000;2000;Animation, Adventure, Fantasy;134;JAPAN;PG/13;Hayao Miyazaki;$169,785,629;331045;8.0;
tt0087843;Once Upon a Time in America;28/09/1984;1984;Crime, Drama;229;USA;R;Sergio Leone;$5,472,914;302317;8.0;
tt0032553;The Great Dictator;25/06/1945;1945;Comedy, Drama, War;125;USA;G;Charles Chaplin;$969,879;197381;8.0;
tt0043014;Sunset Blvd.;06/03/1951;1951;Drama, Film/Noir;110;USA;G;Billy Wilder;$299,645;195789;8.0;
tt0361748;Inglourious Basterds;02/10/2009;2009;Adventure, Drama, War;153;GERMANY;R;Quentin Tarantino;$321,455,689;1229958;8.0;
tt0169547;American Beauty;21/01/2000;2000;Drama;122;USA;R;Sam Mendes;$356,296,601;1049009;8.0;
tt0112573;Braveheart;01/12/1995;1995;Biography, Drama, History;178;USA;R;Mel Gibson;$213,216,216;941683;7.9;
tt0086190;Star Wars: Episode VI / Return of the Jedi;21/10/1983;1983;Action, Adventure, Fantasy;131;USA;PG;Richard Marquand;$475,347,111;928036;7.9;
tt0105236;Reservoir Dogs;09/10/1992;1992;Crime, Drama, Thriller;99;USA;R;Quentin Tarantino;$2,889,963;896551;7.9;
tt0338013;Eternal Sunshine of the Spotless Mind;22/10/2004;2004;Drama, Romance, Sci/Fi;108;USA;R;Michel Gondry;$74,036,715;889875;7.9;
tt0114709;Toy Story;22/03/1996;1996;Animation, Adventure, Comedy;81;USA;G;John Lasseter;$404,265,438;864461;7.9;
tt0119217;Good Will Hunting;06/03/1998;1998;Drama, Romance;126;USA;R;Gus Van Sant;$225,933,435;837379;7.8;
tt0208092;Snatch;16/03/2001;2001;Comedy, Crime;104;UK;R;Guy Ritchie;$83,557,872;766589;7.8;
tt0180093;Requiem for a Dream;15/12/2000;2000;Drama;102;USA;R;Darren Aronofsky;$7,390,108;748291;7.8;
tt0066921;A Clockwork Orange;07/09/1972;1972;Crime, Drama, Sci/Fi;136;UK;G;Stanley Kubrick;$26,903,440;740301;7.8;
tt0435761;Toy Story 3;07/07/2010;2010;Animation, Adventure, Comedy;103;USA;G;Lee Unkrich;$1,066,969,703;739717;7.8;
tt0211915;Le fabuleux destin d'Amélie Poulain;25/01/2002;2002;Comedy, Romance;122;FRANCE;R;Jean/Pierre Jeunet;$173,924,742;69048;7.7;
tt0093058;Full Metal Jacket;09/10/1987;1987;Drama, War;116;UK;G;Stanley Kubrick;$46,357,676;658175;7.7;
tt0090605;Aliens;24/09/1986;1986;Action, Adventure, Sci/Fi;137;USA;R;James Cameron;$131,384,634;6395;7.7;
tt0062622;2001: A Space Odyssey;12/12/1968;1968;Adventure, Sci/Fi;149;UK;G;Stanley Kubrick;$68,989,547;587866;7.6;
tt0033467;Citizen Kane;25/11/1948;1948;Drama, Mystery;119;USA;G;Orson Welles;$1,594,107;389322;7.6;
tt8579674;1917;23/01/2020;2020;Drama, War;119;USA;G;Sam Mendes;$384,857,224;362897;7.6;
tt0086879;Amadeus;15/02/1985;1985;Biography, Drama, History;160;USA;R;Milos Forman;$52,066,791;361028;7.6;
tt0052357;Vertigo;18/11/1958;1958;Mystery, Romance, Thriller;128;USA;G;Alfred Hitchcock;$7,796,389;352786;7.5;
tt0053125;North by Northwest;28/10/1959;1959;Adventure, Mystery, Thriller;136;USA;G;Alfred Hitchcock;$73,446;291628;7.5;
tt2106476;Jagten;22/11/2012;2012;Drama;115;DENMARK;R;Thomas Vinterberg;$15,843,274;269616;7.5;
tt0056172;Lawrence of Arabia;29/10/1963;1963;Adventure, Biography, Drama;228;UK;PG;David Lean;$45,710,874;261504;7.5;
tt0070735;The Sting;21/03/1974;1974;Comedy, Crime, Drama;129;USA;PG;George Roy Hill;$156,000,000;236285;7.5;
tt0082096;Das Boot;18/03/1982;1982;Adventure, Drama, Thriller;149;WEST GERMANY;R;Wolfgang Petersen;$11,487,676;226427;7.5;
tt0059578;Per qualche dollaro in più;20/12/1965;1965;Western;132;ITALY;G;Sergio Leone;$15,000,000;226039;7.4;
tt1832382;Jodaeiye Nader az Simin;21/10/2011;2011;Drama;123;IRAN;PG/13;Asghar Farhadi;$22,926,076;214165;7.4;
tt0045152;Singin' in the Rain;05/02/1953;1953;Comedy, Musical, Romance;103;USA;G;Stanley Donen;$1,864,182;213152;7.4;
;;;;;;;;;;;;
